EXPEDIENTE;TIPO;ACTIVIDAD;REGIÓN;PROVINCIA;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
177999;RESPONSABILIDAD LIMITADA;G4659.95;COSTA;EL ORO;PEQUEÑA;SOCIETARIO;7;27854,63;9848,66;67258,97;-42,39
96846;RESPONSABILIDAD LIMITADA;G4771.21;SIERRA;TUNGURAHUA;MICROEMPRESA;SOCIETARIO;11;27692,05;7875,51;87286,1;-559,17
303304;ANÓNIMA;G4520.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;27074,76;13221,29;0;202,5
716097;ANÓNIMA;G4530.00;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;4;26677,38;2344,85;192080;1544,85
173842;ANÓNIMA;G4669.11;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;5;26615,67;17635,07;54883;6156,09
171930;RESPONSABILIDAD LIMITADA;G4610.09;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;7;26340,4;20867,11;0;0
133921;ANÓNIMA;G4719.00;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;26041,92;4682,77;10458,1;1368,8
61857;ANÓNIMA;G4711.02;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;26000;26000;0;0
153726;RESPONSABILIDAD LIMITADA;G4741.11;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;25926,95;17069,66;69052,28;3310,43
144553;ANÓNIMA;G4772.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;25398,08;22330,43;60000;1290
107651;ANÓNIMA;G4651.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;25241,4;22665,01;43718,56;1417
714275;ANÓNIMA;G4520.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;24997,34;799,73;359,64;29,73
101496;ANÓNIMA;G4651.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;24718,85;24718,85;47;0
137434;RESPONSABILIDAD LIMITADA;G4659.99;ORIENTE;SUCUMBIOS;PEQUEÑA;SOCIETARIO;8;24321,68;20356,44;491520,5;4622,96
36229;ANÓNIMA;G4690.00;ORIENTE;PASTAZA;MICROEMPRESA;SOCIETARIO;4;23883,52;11749,59;0;123,47
